chronometricAgeID
verbatimChronometricAge
verbatimChronometricAgeConversionProtocol
maximumChronometricAge
maximumChronometricAgeReferenceSystem
minimumChronometricAge
minimumChronometricAgeReferenceSystem
chronometricAgeUncertaintyInYears
chronometricAgeUncertaintyMethod
materialDated
materialDatedID
chronometricAgeProtocol
chronometricAgeReferences
chronometricAgeRemarks
